Bedrooms,Average Size (sf),Median Sale Price,Price Difference,Price / sf,Number of sales
1,,"$678,667","-$221,333",,
2,1321,"$900,000","-$212,000",681,77
3,1906,"$1,112,000","$212,000",583,193
4,2420,"$1,402,500","$290,000",579,110
5 or more,2930,"$1,565,000","$162,000",534,51
