id,name,neighborhood,bedrooms,nightly_rate,days_occupied,availability_30,home_price,rpp,noi
4906490,Classic Capitol Hill House,Belltown/Downtown,4,350,30,0,819806,10500,5150.85
8150395,Hip Mid-Century Capitol Hill Flat,Belltown/Downtown,1,93,13,17,396702,1209,-992.25
4250639,City 2 Bdrm Condo Convention Center,Belltown/Downtown,2,139,10,20,526079,1390,-1507.82
3652612,Capitol Hill 1BR Kitchen & Balcony,Belltown/Downtown,1,150,0,30,396702,0,-2080.35
3570691,Home away from home - Capitol Hill ,Belltown/Downtown,2,350,9,21,526079,3150,76.18
5495802,Sanctuary in the city,Belltown/Downtown,1,125,10,20,396702,1250,-955.35
1204142,Charming and cozy on Capitol Hill!,Belltown/Downtown,1,138,25,5,396702,3450,1024.65
5593981,Breathtaking view From Capitol Hill,Belltown/Downtown,1,145,30,0,396702,4350,1834.65
3404914,Emerald City Gem,Belltown/Downtown,1,100,30,0,396702,3000,619.65
4782745,Lovely Vintage Apartment,Belltown/Downtown,1,175,30,0,396702,5250,2644.65
13068,THE URBAN OASIS- Great Location!,Belltown/Downtown,3,360,4,26,650000,1440,-2112.67
6659301,Bright Apt. in Creative Building,Belltown/Downtown,2,150,0,30,526079,0,-2758.82
8273031,Modern Spacious 2BD Apt - Cap Hill,Belltown/Downtown,2,600,0,30,526079,0,-2758.82
7363701,"Large and Vintage 1BR, Calm Area",Belltown/Downtown,1,149,26,4,396702,3874,1406.25
3930681,Sunny Capitol Hill Adventure,Belltown/Downtown,1,111,30,0,396702,3330,916.65
8755762,Newly Listed Historic Designed Flat,Belltown/Downtown,1,96,21,9,396702,2016,-265.95
7535055,Modern 1-bedroom w/ sunset views,Belltown/Downtown,1,150,30,0,396702,4500,1969.65
4241862,Capital Hill 1Bed Vintage Fun! ,Belltown/Downtown,1,100,30,0,396702,3000,619.65
9509279,Studio w/ full bath newer building,Belltown/Downtown,1,100,3,27,396702,300,-1810.35
6822322,1 BR Apt in the Heart of Cap Hill,Belltown/Downtown,1,105,30,0,396702,3150,754.65
2628010,Huge 2 BR/2 Bath-Heart of Cap Hill ,Belltown/Downtown,2,209,30,0,526079,6270,2884.18
4077920,Unique loft with private roof deck,Belltown/Downtown,1,250,30,0,396702,7500,4669.65
10157880,Very close to Seattle downtown,Belltown/Downtown,1,82,19,11,396702,1558,-678.15
2970666,"MODERN, Spacious, new  LOCATION",Belltown/Downtown,1,109,15,15,396702,1635,-608.85
