neighborhood,median_price,one_br,two_br,three_br,four_br,five_plus_br
Ballard/Greenlake,760000,463837,615107,760000,958543,1069604
Belltown/Downtown,650000,396702,526079,650000,819806,914793
Central Seattle,800000,488249,647482,800000,1008992,1125899
East Side–South of I-90,900000,549280,728417,900000,1135116,1266636
North Seattle,800000,488249,647482,800000,1008992,1125899
Queen Anne/Magnolia,895000,546229,724370,895000,1128810,1259599
SODO/Beacon Hill,635000,387548,513938,635000,800888,893682
Southeast Seattle,671000,409519,543075,671000,846292,944348
West Seattle,655000,399754,530125,655000,826112,921830
